,img1,img2,speed
14400,data/frames/train/train_thumb_14401.jpg,data/frames/train/train_thumb_14402.jpg,4.545352
1396,data/frames/train/train_thumb_1397.jpg,data/frames/train/train_thumb_1398.jpg,14.52604
1680,data/frames/train/train_thumb_1681.jpg,data/frames/train/train_thumb_1682.jpg,18.600541
18405,data/frames/train/train_thumb_18406.jpg,data/frames/train/train_thumb_18407.jpg,11.617492
6129,data/frames/train/train_thumb_6130.jpg,data/frames/train/train_thumb_6131.jpg,12.245733
5026,data/frames/train/train_thumb_5027.jpg,data/frames/train/train_thumb_5028.jpg,22.216286
10538,data/frames/train/train_thumb_10539.jpg,data/frames/train/train_thumb_10540.jpg,5.91117
8817,data/frames/train/train_thumb_8818.jpg,data/frames/train/train_thumb_8819.jpg,10.535101
5623,data/frames/train/train_thumb_5624.jpg,data/frames/train/train_thumb_5625.jpg,24.322209
11475,data/frames/train/train_thumb_11476.jpg,data/frames/train/train_thumb_11477.jpg,3.270988
2078,data/frames/train/train_thumb_2079.jpg,data/frames/train/train_thumb_2080.jpg,22.796638
11956,data/frames/train/train_thumb_11957.jpg,data/frames/train/train_thumb_11958.jpg,7.15878
8974,data/frames/train/train_thumb_8975.jpg,data/frames/train/train_thumb_8976.jpg,9.25413
5877,data/frames/train/train_thumb_5878.jpg,data/frames/train/train_thumb_5879.jpg,17.677923
3690,data/frames/train/train_thumb_3691.jpg,data/frames/train/train_thumb_3692.jpg,22.180293
8872,data/frames/train/train_thumb_8873.jpg,data/frames/train/train_thumb_8874.jpg,9.69775
6411,data/frames/train/train_thumb_6412.jpg,data/frames/train/train_thumb_6413.jpg,14.554684
19040,data/frames/train/train_thumb_19041.jpg,data/frames/train/train_thumb_19042.jpg,6.922433
632,data/frames/train/train_thumb_633.jpg,data/frames/train/train_thumb_634.jpg,17.389369
14000,data/frames/train/train_thumb_14001.jpg,data/frames/train/train_thumb_14002.jpg,6.322487
14705,data/frames/train/train_thumb_14706.jpg,data/frames/train/train_thumb_14707.jpg,0.935015
6262,data/frames/train/train_thumb_6263.jpg,data/frames/train/train_thumb_6264.jpg,12.330681
1746,data/frames/train/train_thumb_1747.jpg,data/frames/train/train_thumb_1748.jpg,19.261576
9594,data/frames/train/train_thumb_9595.jpg,data/frames/train/train_thumb_9596.jpg,8.527884
16324,data/frames/train/train_thumb_16325.jpg,data/frames/train/train_thumb_16326.jpg,9.52575
15195,data/frames/train/train_thumb_15196.jpg,data/frames/train/train_thumb_15197.jpg,12.492663
2393,data/frames/train/train_thumb_2394.jpg,data/frames/train/train_thumb_2395.jpg,24.101578
12634,data/frames/train/train_thumb_12635.jpg,data/frames/train/train_thumb_12636.jpg,10.429564
2024,data/frames/train/train_thumb_2025.jpg,data/frames/train/train_thumb_2026.jpg,23.177836
5356,data/frames/train/train_thumb_5357.jpg,data/frames/train/train_thumb_5358.jpg,24.340854
4211,data/frames/train/train_thumb_4212.jpg,data/frames/train/train_thumb_4213.jpg,22.067061
8957,data/frames/train/train_thumb_8958.jpg,data/frames/train/train_thumb_8959.jpg,9.68001
17713,data/frames/train/train_thumb_17714.jpg,data/frames/train/train_thumb_17715.jpg,11.34555
576,data/frames/train/train_thumb_577.jpg,data/frames/train/train_thumb_578.jpg,17.319426
7929,data/frames/train/train_thumb_7930.jpg,data/frames/train/train_thumb_7931.jpg,23.469985
14313,data/frames/train/train_thumb_14314.jpg,data/frames/train/train_thumb_14315.jpg,5.282637
12215,data/frames/train/train_thumb_12216.jpg,data/frames/train/train_thumb_12217.jpg,5.422055
2299,data/frames/train/train_thumb_2300.jpg,data/frames/train/train_thumb_2301.jpg,24.679384
12472,data/frames/train/train_thumb_12473.jpg,data/frames/train/train_thumb_12474.jpg,8.663272
16532,data/frames/train/train_thumb_16533.jpg,data/frames/train/train_thumb_16534.jpg,3.522134
16953,data/frames/train/train_thumb_16954.jpg,data/frames/train/train_thumb_16955.jpg,1.847903
11175,data/frames/train/train_thumb_11176.jpg,data/frames/train/train_thumb_11177.jpg,7.555392
